image_index,true_label,predicted_class,correct,cycles,frame,status_hex,sum_hex,xor_hex,cycle_ok,frame_ok,status_ok
0,3,3,1,1282,1,0x00000015,0x00004D13,0x75,1,1,1
1,1,1,1,1282,2,0x00000015,0x00004C06,0xDA,1,1,1
2,5,5,1,1282,3,0x00000015,0x00006994,0x22,1,1,1
3,5,5,1,1282,4,0x00000015,0x000059FE,0x6A,1,1,1
4,1,1,1,1282,5,0x00000015,0x00003406,0x3C,1,1,1
5,3,3,1,1282,6,0x00000015,0x00006E70,0x32,1,1,1
6,8,8,1,1282,7,0x00000015,0x00007857,0xA1,1,1,1
7,5,5,1,1282,8,0x00000015,0x00008BA6,0x66,1,1,1
8,9,9,1,1282,9,0x00000015,0x00004EC8,0x4C,1,1,1
9,8,8,1,1282,10,0x00000015,0x0000A322,0xC0,1,1,1
10,9,9,1,1282,11,0x00000015,0x00006369,0x3B,1,1,1
11,6,6,1,1282,12,0x00000015,0x000056AF,0x8D,1,1,1
12,3,3,1,1282,13,0x00000015,0x00006339,0xA9,1,1,1
13,6,6,1,1282,14,0x00000015,0x00007D26,0x6E,1,1,1
14,9,9,1,1282,15,0x00000015,0x0000417E,0x48,1,1,1
15,7,7,1,1282,16,0x00000015,0x00006722,0x00,1,1,1
16,8,8,1,1282,17,0x00000015,0x0000A12D,0x3F,1,1,1
17,1,1,1,1282,18,0x00000015,0x00002C60,0xE4,1,1,1
18,0,0,1,1282,19,0x00000015,0x00005E3E,0xA2,1,1,1
19,6,6,1,1282,20,0x00000015,0x00007638,0x78,1,1,1
20,4,4,1,1282,21,0x00000015,0x0000794B,0xCF,1,1,1
21,6,6,1,1282,22,0x00000015,0x00005DD2,0xE0,1,1,1
22,7,7,1,1282,23,0x00000015,0x000042A1,0xEB,1,1,1
23,2,2,1,1282,24,0x00000015,0x00006A3E,0xCE,1,1,1
24,8,8,1,1282,25,0x00000015,0x00008EF5,0xEF,1,1,1
25,4,4,1,1282,26,0x00000015,0x000056AC,0xD2,1,1,1
26,0,0,1,1282,27,0x00000015,0x000095F1,0x4B,1,1,1
27,8,8,1,1282,28,0x00000015,0x00005F4F,0x7F,1,1,1
28,0,0,1,1282,29,0x00000015,0x00007D11,0x7F,1,1,1
29,2,8,0,1282,30,0x00000015,0x00009C16,0x74,1,1,1
30,0,0,1,1282,31,0x00000015,0x00006E2E,0x7C,1,1,1
31,1,1,1,1282,32,0x00000015,0x00003E21,0xF9,1,1,1
32,8,0,0,1282,33,0x00000015,0x00009D50,0x8A,1,1,1
33,9,9,1,1282,34,0x00000015,0x00006A39,0xF1,1,1,1
34,4,4,1,1282,35,0x00000015,0x00007205,0x95,1,1,1
35,0,0,1,1282,36,0x00000015,0x0000A1B5,0x69,1,1,1
36,5,5,1,1282,37,0x00000015,0x00006B09,0x3F,1,1,1
37,5,5,1,1282,38,0x00000015,0x00005FDB,0x9B,1,1,1
